nohup: ignoring input
============================================================
HAOA — Full Optimization Research Framework
============================================================

──────────────────────────────────────────────────
Running Benchmark: Sphere
──────────────────────────────────────────────────
Iteration 217/300 | Best Score: 50.4855269293
Iteration 218/300 | Best Score: 50.4855269293
Iteration 219/300 | Best Score: 50.4855269293
Iteration 220/300 | Best Score: 50.4855269293
Iteration 221/300 | Best Score: 50.4855269293
Iteration 222/300 | Best Score: 45.6883733919
Iteration 223/300 | Best Score: 45.6883733919
Iteration 224/300 | Best Score: 45.6883733919
Iteration 225/300 | Best Score: 45.6883733919
Iteration 226/300 | Best Score: 45.6883733919
Iteration 227/300 | Best Score: 45.6883733919
Iteration 228/300 | Best Score: 45.6883733919
Iteration 229/300 | Best Score: 45.6883733919
Iteration 230/300 | Best Score: 45.6883733919
Iteration 231/300 | Best Score: 45.6883733919
Iteration 232/300 | Best Score: 45.6883733919
Iteration 233/300 | Best Score: 45.6883733919
Iteration 234/300 | Best Score: 32.4159501916
Iteration 235/300 | Best Score: 32.4159501916
Iteration 236/300 | Best Score: 32.4159501916
Iteration 237/300 | Best Score: 32.4159501916
Iteration 238/300 | Best Score: 32.4159501916
Iteration 239/300 | Best Score: 32.4159501916
Iteration 240/300 | Best Score: 32.4159501916
Iteration 241/300 | Best Score: 32.4159501916
Iteration 242/300 | Best Score: 32.4159501916
Iteration 243/300 | Best Score: 32.4159501916
Iteration 244/300 | Best Score: 32.4159501916
Iteration 245/300 | Best Score: 32.4159501916
Iteration 246/300 | Best Score: 32.4159501916
Iteration 247/300 | Best Score: 32.4159501916
Iteration 248/300 | Best Score: 32.4159501916
Iteration 249/300 | Best Score: 32.4159501916
Iteration 250/300 | Best Score: 32.4159501916
Iteration 251/300 | Best Score: 32.4159501916
Iteration 252/300 | Best Score: 32.4159501916
Iteration 253/300 | Best Score: 32.4159501916
Iteration 254/300 | Best Score: 32.4159501916
Iteration 255/300 | Best Score: 32.4159501916
Iteration 256/300 | Best Score: 32.4159501916
Iteration 257/300 | Best Score: 32.4159501916
Iteration 258/300 | Best Score: 32.4159501916
Iteration 259/300 | Best Score: 32.4159501916
Iteration 260/300 | Best Score: 32.4159501916
Iteration 261/300 | Best Score: 32.4159501916
Iteration 262/300 | Best Score: 32.4159501916
Iteration 263/300 | Best Score: 32.4159501916
Iteration 264/300 | Best Score: 32.4159501916
Iteration 265/300 | Best Score: 32.4159501916
Iteration 266/300 | Best Score: 32.4159501916
Iteration 267/300 | Best Score: 32.4159501916
Iteration 268/300 | Best Score: 32.4159501916
Iteration 269/300 | Best Score: 32.4159501916
Iteration 270/300 | Best Score: 32.4159501916
Iteration 271/300 | Best Score: 32.4159501916
Iteration 272/300 | Best Score: 32.4159501916
Iteration 273/300 | Best Score: 32.4159501916
Iteration 274/300 | Best Score: 32.4159501916
Iteration 275/300 | Best Score: 32.4159501916
Iteration 276/300 | Best Score: 32.4159501916
Iteration 277/300 | Best Score: 32.4159501916
Iteration 278/300 | Best Score: 32.4159501916
Iteration 279/300 | Best Score: 32.4159501916
Iteration 280/300 | Best Score: 32.4159501916
Iteration 281/300 | Best Score: 32.4159501916
Iteration 282/300 | Best Score: 32.4159501916
Iteration 283/300 | Best Score: 32.4159501916
Iteration 284/300 | Best Score: 32.4159501916
Iteration 285/300 | Best Score: 32.4159501916
